Metric_Name,Category,Current_Value,Target_Value,Status,Last_Updated,Owner_Team,Notes
Mean_Time_to_Detection,Response_Time,2.3_hours,1.0_hour,Needs_Improvement,2025-11-10,SOC_Team,Improved_from_4.2_hours_last_quarter
Mean_Time_to_Containment,Response_Time,6.8_hours,4.0_hours,Needs_Improvement,2025-11-10,IR_Team,Within_acceptable_range_for_complex_incidents
Mean_Time_to_Recovery,Response_Time,24.5_hours,18.0_hours,Needs_Improvement,2025-11-10,Operations,Exceeded_target_due_to_supply_chain_attack
Security_Training_Completion,Awareness,94.2_percent,98.0_percent,On_Track,2025-11-09,HR_Security,Monthly_phishing_simulation_results_improving
Vulnerability_Patch_Rate,Patching,87.3_percent,95.0_percent,Needs_Improvement,2025-11-08,IT_Operations,Critical_patches_within_SLA
Password_Policy_Compliance,Access_Control,91.7_percent,99.0_percent,Needs_Improvement,2025-11-07,Identity_Team,MFA_rollout_addressing_gaps
Backup_Success_Rate,Continuity,99.1_percent,99.5_percent,Good,2025-11-10,Backup_Team,One_failed_backup_due_to_storage_issue
Network_Segmentation_Coverage,Infrastructure,78.4_percent,90.0_percent,Needs_Improvement,2025-11-06,Network_Team,Critical_systems_prioritized
Incident_False_Positive_Rate,Detection,8.2_percent,5.0_percent,Needs_Improvement,2025-11-10,SOC_Team,Tuning_SIEM_rules_to_reduce_noise
Threat_Intelligence_Feeds,Intelligence,45_sources,60_sources,On_Track,2025-11-05,Threat_Intel,Added_5_new_feeds_this_quarter
Security_Tool_Coverage,Monitoring,89.5_percent,95.0_percent,Good,2025-11-08,Security_Architecture,Endpoint_coverage_at_target
Risk_Assessment_Currency,Governance,73.2_percent,85.0_percent,Needs_Improvement,2025-11-04,Risk_Management,Quarterly_assessments_behind_schedule
Compliance_Audit_Score,Compliance,87.8_percent,90.0_percent,Good,2025-11-01,Compliance_Team,Minor_findings_in_access_controls
Third_Party_Risk_Reviews,Supply_Chain,56.3_percent,75.0_percent,Needs_Improvement,2025-10-30,Vendor_Management,Accelerating_review_process
Security_Budget_Utilization,Financial,67.4_percent,85.0_percent,Good,2025-11-10,Security_Leadership,Q4_spending_on_track
Staff_Security_Certifications,Capability,82.1_percent,90.0_percent,Good,2025-11-09,Training_Team,CISSP_and_CISM_programs_active
Red_Team_Exercise_Frequency,Testing,2_per_year,4_per_year,Needs_Improvement,2025-11-01,Red_Team,Budget_approved_for_additional_exercises
Business_Continuity_Tests,Continuity,75.0_percent,90.0_percent,Needs_Improvement,2025-10-28,BC_DR_Team,COVID_disrupted_some_planned_tests
Data_Classification_Coverage,Data_Protection,91.3_percent,95.0_percent,Good,2025-11-03,Data_Governance,Sensitive_data_discovery_ongoing
Encryption_Implementation,Cryptography,88.7_percent,95.0_percent,Good,2025-11-02,Crypto_Team,Database_encryption_project_in_progress
Mobile_Device_Management,Endpoint,93.4_percent,95.0_percent,Good,2025-11-09,Mobile_Security,BYOD_policy_compliance_strong
Cloud_Security_Posture,Cloud,84.6_percent,90.0_percent,Good,2025-11-08,Cloud_Security,Multi_cloud_visibility_improving
