ThreatID,Date,Source,Target,Attack_Vector,Severity,Status,IOC_Hash,C2_Server,Attribution
THR001,2025-10-15,External,Energy_Grid_Alpha,Spear_Phishing,Critical,Active,a1b2c3d4e5f6789012345,192.168.1.100,APT-29
THR002,2025-10-16,Internal,Financial_DB_Beta,SQL_Injection,High,Contained,f6e5d4c3b2a1098765432,10.0.0.50,Unknown
THR003,2025-10-17,External,Gov_Portal_Gamma,Zero_Day,Critical,Investigating,1a2b3c4d5e6f,172.16.0.25,APT-40
THR004,2025-10-18,External,Healthcare_Sys_Delta,Ransomware,High,Mitigated,9z8y7x6w5v4u,203.0.113.15,Lazarus
THR005,2025-10-19,Internal,Corp_Network_Echo,Insider_Threat,Medium,Monitoring,n/a,n/a,Internal
THR006,2025-10-20,External,Telecom_Infra_Foxtrot,DDoS,Medium,Resolved,3t4r5e6w7q8u,198.51.100.30,Unknown
THR007,2025-10-21,External,Defense_Contractor_Golf,Supply_Chain,Critical,Active,7h8g9f0e1d2c,192.0.2.75,APT-1
THR008,2025-10-22,External,Water_Treatment_Hotel,Malware,High,Contained,q9w8e7r6t5y4,10.1.1.200,Carbanak
THR009,2025-10-23,External,Airport_Security_India,Backdoor,High,Investigating,5k6j7h8g9f0d,172.20.0.100,APT-28
THR010,2025-10-24,External,Nuclear_Facility_Juliet,Advanced_Malware,Critical,Active,2m3n4b5v6c7x,203.0.113.99,Stuxnet_Variant
THR011,2025-10-25,Internal,Bank_Network_Kilo,Privilege_Escalation,Medium,Contained,8u9i0o1p2q3w,n/a,Internal
THR012,2025-10-26,External,Shipping_Port_Lima,Wiper_Malware,High,Mitigated,4e5r6t7y8u9i,198.51.100.150,NotPetya_Variant
THR013,2025-10-27,External,Oil_Refinery_Mike,Spear_Phishing,Critical,Investigating,0p1o2i3u4y5t,192.168.254.50,APT-33
THR014,2025-10-28,External,Pharma_Research_November,Data_Exfil,High,Active,6r7e8w9q0t1y,10.255.255.100,Cozy_Bear
THR015,2025-10-29,External,Military_Base_Oscar,Rootkit,Critical,Contained,2a3s4d5f6g7h,172.31.0.200,Fancy_Bear
THR016,2025-10-30,Internal,Corp_Email_Papa,Business_Email_Compromise,Medium,Resolved,n/a,n/a,External_Actor
THR017,2025-10-31,External,Smart_City_Quebec,IoT_Botnet,High,Monitoring,9j8h7g6f5d4s,203.0.113.25,Mirai_Variant
THR018,2025-11-01,External,Satellite_Comm_Romeo,Signal_Jamming,Medium,Investigating,n/a,n/a,Unknown
THR019,2025-11-02,External,Cloud_Provider_Sierra,Container_Escape,High,Mitigated,1z2x3c4v5b6n,198.51.100.200,TeamTNT
THR020,2025-11-03,External,Cryptocurrency_Tango,Cryptojacking,Medium,Contained,7m8k9l0p1q2w,10.100.100.50,Monero_Miner
THR021,2025-11-04,External,Social_Media_Uniform,Account_Takeover,Low,Resolved,n/a,n/a,Script_Kiddie
THR022,2025-11-05,External,E_Commerce_Victor,Credit_Card_Skimmer,High,Active,5e4r3t2y1u0i,192.0.2.150,Magecart
THR023,2025-11-06,External,Logistics_Whiskey,GPS_Spoofing,Medium,Investigating,n/a,n/a,Unknown
THR024,2025-11-07,External,Power_Plant_X_ray,SCADA_Attack,Critical,Active,8q7w6e5r4t3y,172.16.255.100,Triton_Variant
THR025,2025-11-08,Internal,HR_Database_Yankee,Data_Leak,Low,Contained,n/a,n/a,Accidental
THR026,2025-11-09,External,Aerospace_Zulu,Industrial_Espionage,Critical,Investigating,2u3i4o5p6q7w,203.0.113.175,APT-10
THR027,2025-11-10,External,Telehealth_Alpha2,Patient_Data_Breach,High,Mitigated,9e8r7t6y5u4i,10.200.200.75,Healthcare_Ransomware
THR028,2025-11-11,External,Election_Systems_Bravo2,Vote_Manipulation,Critical,Active,3o2i1u0y9t8r,198.51.100.250,Election_Interference
