Mission_Title,Doc_ID,Doc_Type,Doc_Date,Classification,Author,Review_Status
Mission_1,DOC001,Memo,2025-12-04,Top Secret,Analyst B,Reviewed
Mission_2,DOC002,Memo,2025-12-05,Secret,Analyst A,Reviewed
Mission_3,DOC003,Report,2025-12-06,Secret,Analyst B,Reviewed
Mission_4,DOC004,Briefing,2025-12-07,Secret,Analyst A,Pending
Mission_5,DOC005,Memo,2025-12-08,Secret,Analyst B,Rejected
Mission_6,DOC006,Briefing,2025-12-09,Secret,Analyst C,Reviewed
Mission_7,DOC007,Briefing,2025-12-10,Unclassified,Analyst A,Reviewed
Mission_8,DOC008,Report,2025-12-11,Unclassified,Analyst A,Rejected
Mission_9,DOC009,Memo,2025-12-12,Unclassified,Analyst A,Reviewed
Mission_10,DOC010,Briefing,2025-12-13,Unclassified,Analyst A,Reviewed
