Mission_Title,Issue_ID,Equipment_Type,Reported_By,Date_Reported,Status,Equipment Issues
Mission_1,ISSUE001,Server,User B,2025-12-04,Closed,network operation cyber threat intel response intel network system response intel cyber system threat response incident incident operation network assessment response response intel response cyber operation intel threat intel assessment incident security intel intel network threat cyber assessment intel cyber network assessment intel response intel security assessment security threat operation system incident operation threat threat threat intel intel threat assessment incident network threat threat network operation security operation threat assessment threat intel operation incident assessment security operation system operation operation intel assessment security network system intel system incident security threat security operation cyber threat assessment security cyber intel intel response
Mission_2,ISSUE002,Server,User C,2025-12-05,Open,intel system cyber response intel cyber incident response cyber response intel cyber system system incident cyber intel assessment cyber system intel assessment security response assessment operation system security assessment intel security cyber incident assessment assessment threat response incident cyber operation operation incident response security cyber assessment network threat security system response security response system cyber response assessment security intel operation response assessment security security system security assessment incident security threat incident threat security system incident security cyber operation system assessment operation intel assessment response response cyber system intel system incident response operation assessment response cyber cyber assessment response threat cyber
Mission_3,ISSUE003,Router,User C,2025-12-06,Closed,system operation intel incident intel system system network incident response response network network response security operation response response security security response security cyber system network security operation incident assessment threat cyber cyber response threat threat incident network assessment threat threat response cyber intel threat intel response security threat security system threat response cyber response threat intel incident intel incident security security network incident incident threat assessment response cyber assessment security threat system assessment cyber intel security assessment system assessment operation response network response assessment system threat assessment response incident incident system system assessment system threat threat operation security response incident
Mission_4,ISSUE004,Router,User A,2025-12-07,In Progress,incident system assessment intel security network response security incident assessment response intel threat cyber threat cyber security threat operation incident operation assessment network cyber network intel intel cyber system threat assessment cyber network threat system cyber response threat incident cyber response network threat assessment security cyber response system threat assessment network intel intel cyber response cyber security operation operation threat network incident cyber operation incident assessment intel security response operation security assessment cyber network incident network cyber incident intel intel intel threat response system operation threat incident operation operation response response response intel threat network intel network incident security response
Mission_5,ISSUE005,Switch,User A,2025-12-08,In Progress,security response operation incident operation incident system assessment intel assessment operation operation network network assessment network threat incident security system response assessment incident network system threat network security threat intel incident intel incident cyber operation assessment operation response operation intel assessment threat incident operation network intel intel incident intel intel threat threat security assessment assessment assessment cyber security operation response intel incident intel cyber network intel intel assessment network threat network operation threat incident threat threat incident intel response system system response operation incident network intel assessment network network network response operation network cyber incident system network operation operation intel
Mission_6,ISSUE006,Server,User A,2025-12-09,Closed,cyber threat network intel assessment security cyber network cyber system cyber cyber assessment network network security assessment operation security incident network security network incident operation operation incident cyber threat assessment cyber operation security threat response cyber incident assessment assessment incident operation intel incident network incident security assessment intel response intel incident incident system response intel assessment assessment incident intel threat assessment incident system incident response assessment cyber security cyber assessment intel network cyber response response assessment network operation threat network incident intel response cyber incident intel threat operation incident cyber system security system cyber operation intel operation response intel incident
Mission_7,ISSUE007,Laptop,User A,2025-12-10,Open,security response threat network assessment network security network network cyber network intel cyber response network security cyber threat incident network security response security system response assessment cyber security response network system network operation intel security system cyber assessment response response incident response threat assessment operation network assessment operation intel operation incident incident incident security security threat network response operation assessment security incident security assessment network security system operation cyber incident cyber operation threat response incident incident assessment response cyber security incident cyber intel incident intel cyber assessment network intel threat assessment incident cyber cyber cyber response incident threat network incident
Mission_8,ISSUE008,Laptop,User C,2025-12-11,Open,system cyber system network cyber operation system threat system intel threat operation assessment assessment operation system network response intel cyber system operation threat cyber operation security security security network incident network response threat intel intel system system operation incident cyber incident incident threat cyber network threat incident operation intel network cyber threat security assessment response incident system intel response system operation incident incident cyber incident intel network system security threat assessment cyber incident incident assessment assessment system threat intel operation assessment incident system response operation system operation assessment intel incident system intel threat security security assessment response operation intel cyber
Mission_9,ISSUE009,Router,User A,2025-12-12,Closed,response cyber cyber threat security operation operation assessment network network response network security incident network security network system incident response security security cyber system system assessment incident cyber operation security threat security security system intel assessment network cyber response operation threat threat security operation security response operation assessment system operation system cyber cyber security intel intel response assessment security operation operation response network threat incident system incident security response threat response assessment intel incident assessment threat response assessment assessment network threat cyber incident cyber threat security operation system intel security intel assessment operation intel cyber system intel assessment network security
Mission_10,ISSUE010,Switch,User B,2025-12-13,Open,intel network cyber cyber incident threat security operation network incident operation cyber network assessment incident response network cyber cyber network system response operation system system cyber network cyber operation system intel threat cyber intel assessment network system threat assessment system assessment threat incident intel intel threat incident incident system response cyber response incident system cyber threat intel system system intel incident response cyber assessment incident assessment security system response security incident network system response security threat cyber cyber system operation response operation assessment cyber intel operation intel threat intel security security network assessment network threat security response operation response cyber
