Mission_Title,FFIR,Friction_Point,Recommendation,Observation,Action_Item,Summary
Mission_1,operation intel system system intel assessment network operation response assessment security intel threat system security threat operation threat incident security operation security response intel threat incident operation incident cyber response threat cyber security security cyber system cyber response incident security threat cyber system incident network assessment threat assessment incident operation network response threat response cyber incident operation security response network incident response assessment operation security response response response intel assessment network network incident network security assessment threat cyber system intel,network intel network incident network threat cyber network incident security cyber threat assessment system operation assessment operation network network response incident threat security network security assessment network operation security cyber response network assessment network intel security assessment security operation operation assessment network incident intel assessment security response incident cyber cyber intel response operation security response threat assessment system system response response assessment cyber assessment security incident intel system response cyber threat system cyber assessment assessment network incident security cyber response,operation intel system intel cyber security response cyber network assessment assessment system operation incident cyber security threat cyber system intel response incident intel response cyber response assessment threat response intel intel operation incident response operation security threat threat network intel response system intel assessment operation system response incident security threat security response security operation cyber operation security operation incident network network security network response response response security response cyber intel intel incident security network assessment network threat assessment incident cyber,security intel security network cyber system incident security response network incident system incident assessment incident operation system intel system response network security assessment response threat network incident intel assessment system network system operation incident response response intel incident system network cyber network response security response incident security system intel assessment assessment threat network response operation response security threat assessment cyber system response response threat cyber response response incident operation operation operation security cyber intel assessment operation assessment threat operation intel,network intel cyber system system incident cyber security intel threat security cyber threat network security cyber response intel security threat cyber cyber operation intel threat incident operation assessment system operation response intel assessment operation system intel security operation intel threat response operation intel operation cyber security threat threat operation security cyber intel threat response system assessment response assessment system incident response response network incident response incident response threat network assessment threat cyber incident incident intel threat incident incident response threat,incident security intel intel operation response response cyber response network network network system intel network intel intel operation operation system operation security system network security cyber system incident intel response cyber security operation incident intel incident response response system operation incident network response assessment operation security incident response response operation incident security operation security intel system cyber network response network response operation operation response threat network assessment security intel intel intel cyber threat intel assessment response operation incident incident security
Mission_2,response threat system response threat incident network security threat network threat assessment cyber system cyber assessment cyber threat cyber incident network incident security system threat security system network incident response system cyber intel network system incident security operation operation operation system cyber threat incident response intel network assessment cyber threat operation security assessment operation cyber intel assessment assessment response incident assessment threat system response assessment network system response incident incident cyber threat security intel operation security threat security intel assessment,network response cyber response assessment response operation security system threat threat cyber system cyber intel intel network intel cyber threat system threat incident operation incident network incident system assessment assessment operation system network system response incident cyber assessment cyber system assessment system assessment response system network incident response system network system operation threat incident intel security system threat response incident network threat response response network threat intel threat cyber network response system incident threat response cyber incident incident assessment cyber,assessment cyber intel operation threat incident assessment threat network incident assessment cyber operation response response intel intel network operation incident security cyber assessment operation operation security system assessment intel response assessment intel response network assessment cyber response system operation network intel security incident cyber network operation operation security system threat intel operation network network cyber operation cyber cyber response network operation cyber cyber assessment network incident threat network cyber assessment network intel security network response response threat operation security incident,incident intel operation operation threat incident assessment assessment assessment security security system assessment operation system system system system network operation response response cyber assessment cyber incident intel response operation incident system intel incident assessment network operation network threat incident system system assessment response system intel intel assessment network intel assessment operation network network assessment operation system network incident threat response response intel system response assessment security incident intel intel assessment intel intel security incident system response incident incident security operation,assessment assessment incident threat network network incident network response assessment intel cyber security cyber assessment intel incident response intel incident cyber assessment response response security threat system intel operation security security network assessment intel threat threat incident network response operation response network security response response system intel operation assessment operation network operation network operation system intel operation system network incident response incident cyber intel incident response threat system response assessment operation operation cyber threat response network system network network system,response assessment assessment threat network response cyber intel security response security cyber network response security assessment incident threat network assessment response intel cyber assessment response threat intel response incident security system intel operation response response incident cyber system response network cyber threat intel network threat network assessment incident incident system assessment system system security cyber network cyber security assessment operation assessment system security network incident security cyber intel response incident threat incident operation system network response security response network network
Mission_3,system intel assessment system threat incident network response intel network cyber operation cyber assessment network threat operation assessment intel security network network intel operation assessment security operation incident cyber network threat incident threat system assessment network security response network response security network intel cyber system intel incident response cyber cyber cyber incident response operation intel threat assessment threat threat assessment network response assessment operation security threat intel intel incident operation operation operation threat cyber system response assessment threat intel incident,response cyber intel operation cyber incident threat response cyber security operation cyber assessment assessment security response security threat response response intel cyber intel intel response security system response security assessment security security network intel operation threat cyber network assessment threat assessment system threat threat network threat threat incident threat intel response operation network operation incident network security incident operation system cyber network security intel cyber intel response security assessment security incident assessment intel incident network incident incident network assessment security,cyber response operation response assessment intel intel system system security incident intel threat operation network threat intel threat cyber intel threat cyber intel incident cyber network assessment cyber cyber operation response network assessment intel network system response response intel threat intel network incident incident intel system threat incident network response network security operation threat cyber network response assessment threat intel operation system threat system incident response cyber security threat security security cyber cyber system threat threat cyber response response response,intel security system network incident assessment incident network network cyber network security intel threat cyber security network intel assessment response security security incident incident network response operation threat operation operation response system threat network incident assessment security network security network assessment intel network system assessment cyber threat threat network incident assessment system threat network operation incident threat cyber security system threat threat security assessment network cyber cyber network operation response system cyber system assessment incident operation intel cyber cyber intel,security network system intel response response assessment network operation assessment system intel incident intel intel cyber response intel response cyber security threat response response response response incident security network incident assessment intel security incident incident security cyber security cyber threat threat assessment assessment response security intel incident threat network system response incident operation intel assessment intel operation threat intel intel response system intel security threat assessment response network security incident assessment intel security incident assessment intel network intel system assessment,cyber cyber response security incident cyber response incident threat operation incident intel system operation operation intel security assessment operation security security incident threat security response incident incident network intel response operation threat security security incident response assessment cyber network cyber intel cyber security assessment intel assessment threat incident incident operation network security threat network incident assessment network intel system cyber cyber network security response intel response network cyber cyber security response incident network cyber threat assessment threat operation security intel
Mission_4,operation security intel system intel assessment assessment system response security cyber cyber threat operation threat system network network security system system response cyber cyber operation system operation response threat system assessment security threat incident assessment cyber system operation threat threat operation operation threat assessment security operation operation intel network cyber response assessment intel incident network incident network intel cyber security operation operation operation network cyber assessment response cyber network system operation incident system security cyber threat security assessment security intel,intel cyber threat threat threat cyber response cyber incident response threat incident intel threat assessment operation security cyber operation operation operation intel network assessment incident threat operation intel response threat intel network intel cyber network incident intel incident network incident intel intel threat security intel response system incident threat operation response response system response response threat intel system incident incident incident threat response response response system assessment system assessment assessment assessment operation security security response response operation security threat network,operation threat threat response cyber security cyber system security network threat threat assessment operation intel security security threat security network assessment network assessment response network incident security assessment security response cyber cyber assessment assessment network incident response threat assessment cyber system threat security operation security assessment network incident cyber network cyber assessment system operation assessment cyber intel response response threat assessment response system network operation assessment network security operation response assessment network intel response network response network system response system,assessment assessment assessment response response system security operation security network response intel network threat response assessment cyber intel operation network cyber response security system system operation threat operation operation assessment assessment response operation response security operation threat security intel system assessment response incident network response security operation assessment incident operation intel security intel response intel cyber security response operation incident network incident incident cyber incident operation assessment threat network assessment network assessment intel security security operation operation cyber assessment threat,security intel response assessment assessment threat assessment security incident cyber incident assessment network response incident assessment incident operation operation response incident assessment network incident operation incident cyber assessment assessment assessment system security operation assessment operation assessment cyber cyber intel security incident incident network operation system intel response assessment intel system assessment security response intel intel intel threat system intel network intel system network intel security operation threat intel incident network intel intel incident cyber threat incident incident assessment incident operation,operation incident incident incident assessment operation assessment cyber operation assessment system intel network network cyber threat intel security system cyber intel response system response cyber response intel incident intel network system threat operation threat cyber system security assessment system network network assessment network system security operation network cyber assessment threat intel security system assessment incident intel operation system network operation threat threat network security intel incident intel incident assessment network security response response incident operation intel intel security network intel
Mission_5,network system assessment threat system intel network intel assessment intel incident operation response response operation intel network incident assessment security incident operation network cyber response assessment cyber operation response operation security security network network incident network operation intel network threat operation security incident system network security incident threat incident system cyber network system assessment system intel network system security network assessment response intel incident cyber security network cyber response assessment incident threat threat network cyber intel cyber incident assessment threat,response response threat cyber system threat network security response intel threat incident incident network threat network operation assessment network threat security operation intel threat threat system response incident intel assessment response threat cyber network incident cyber assessment assessment operation assessment threat cyber incident threat threat security threat threat threat cyber security incident assessment intel intel security system cyber response incident cyber response cyber incident assessment cyber threat intel assessment cyber assessment operation incident threat network system operation threat security incident,threat operation intel security operation system cyber operation security network cyber response system threat security cyber network threat security operation security assessment incident assessment cyber security operation threat security cyber cyber threat network security incident threat system incident security network incident network operation intel response system network network operation assessment security system response incident intel response assessment incident cyber response system security operation cyber incident incident response security response assessment cyber response threat security assessment network cyber assessment system network,assessment network response assessment operation cyber cyber operation threat network operation system system operation system operation security cyber assessment intel operation response response threat security operation system assessment assessment intel operation network network operation network security operation network network security intel incident intel operation network network incident security incident threat assessment cyber network assessment operation incident intel network response operation system operation security intel response assessment operation response intel assessment operation assessment threat operation incident security intel incident operation cyber,incident response security assessment assessment response network security incident incident assessment assessment threat intel security response incident assessment system intel network cyber network threat operation intel incident assessment system intel network response system cyber incident network assessment cyber network security operation system response threat intel incident cyber intel cyber cyber system system threat security incident security incident system incident network operation intel response system security security response threat network security operation security intel operation network response response cyber incident operation,network operation system security intel system incident incident security system cyber intel assessment incident threat threat cyber intel cyber cyber security security intel operation incident cyber assessment system cyber system threat cyber cyber response security incident incident system system assessment incident threat cyber cyber response system incident assessment assessment assessment system incident assessment assessment cyber threat assessment operation response security intel intel cyber threat threat threat system incident response system cyber security assessment response incident assessment operation system assessment operation
Mission_6,response intel operation threat security threat cyber threat threat intel security assessment intel network threat response threat response incident cyber intel operation operation cyber response incident threat threat security incident system operation network security cyber response incident cyber incident security operation cyber intel assessment intel incident operation response assessment security assessment cyber system system cyber system response system cyber security system response response threat system security threat cyber cyber incident cyber security assessment system cyber assessment response cyber assessment intel,operation system response operation assessment operation cyber response cyber operation intel security intel response assessment response assessment threat security system response response response network threat incident intel intel response security security assessment response cyber system response network threat threat network cyber incident operation response intel incident system security network cyber system cyber response network threat incident system response operation incident threat intel security operation assessment system assessment network network operation response intel threat network cyber system assessment response operation response,security cyber system intel operation intel threat security intel security incident assessment operation response threat operation threat incident network cyber incident network assessment response incident threat operation assessment threat intel incident system operation threat intel operation incident network incident network system assessment system network response incident threat operation security response assessment response incident threat cyber assessment operation cyber cyber intel threat intel operation system assessment incident intel system threat network operation network cyber assessment incident assessment assessment system intel cyber,intel assessment intel response response incident threat intel threat security response system response incident intel operation security threat assessment intel cyber assessment assessment network threat assessment operation assessment response assessment incident assessment incident threat response threat system intel assessment network intel system security threat system threat response threat threat response threat assessment cyber security intel security system network threat cyber security incident response operation cyber incident system intel operation threat operation incident response operation response assessment response security threat network,response threat intel intel incident security system network incident system incident response assessment operation intel cyber system network security intel intel system assessment response system response incident threat response threat cyber threat threat assessment incident security network cyber assessment response operation network system cyber assessment security intel threat security security intel incident system cyber assessment response response operation operation operation assessment assessment operation security operation security network cyber network operation cyber intel threat network intel threat security security threat network,system threat incident response system operation response response security assessment system operation system system network system response threat operation response system security assessment security intel network operation response assessment threat incident network system incident cyber assessment intel security security threat operation response response cyber operation cyber system response network system incident network threat cyber cyber cyber assessment threat threat system cyber operation threat operation cyber system security security operation assessment security incident response incident security incident assessment assessment intel threat
Mission_7,intel network cyber network cyber cyber cyber security response threat security security network cyber threat security threat operation assessment operation incident threat incident assessment intel operation intel threat system assessment intel system incident cyber threat operation incident security threat operation intel operation intel intel threat assessment operation cyber operation response threat response system network assessment cyber security incident cyber cyber network intel operation response system network threat threat threat incident intel incident security security cyber operation assessment intel cyber response,intel network network operation security response threat response cyber operation operation system intel security response system incident incident intel security assessment cyber cyber network response security response response response response response cyber cyber assessment threat network response system threat threat network response assessment cyber network cyber assessment intel cyber assessment threat threat security incident incident threat cyber system assessment intel security threat network threat intel intel incident system assessment incident incident security system cyber response security intel system system intel,system response intel security intel operation system network incident operation cyber incident system threat system system network intel network response assessment assessment cyber system network assessment incident incident assessment operation intel operation security security system system security operation security operation incident system network threat incident threat incident threat intel network system operation assessment network response response cyber response response incident assessment network security incident operation cyber incident system response network network intel cyber network security system assessment assessment response threat,security operation incident assessment operation cyber operation system assessment incident cyber intel assessment system response system cyber response system threat network operation intel network cyber operation cyber incident operation incident system threat cyber cyber cyber security assessment security operation assessment operation system network security cyber threat cyber operation operation threat incident cyber incident assessment assessment threat operation assessment response response operation operation response operation security network assessment system threat security threat response threat incident network operation system incident response response,network cyber response system network operation system threat incident intel incident security operation security system operation operation system operation incident security incident network network response response response threat assessment threat incident network intel intel system incident network threat intel network intel cyber intel threat incident threat network intel incident system system network response threat incident intel incident network incident incident incident operation intel response response intel assessment threat network system network network cyber security operation operation incident system threat security,intel incident intel operation operation security system cyber response assessment system response cyber operation security incident incident response system cyber response threat incident intel security system intel security system security network intel cyber system threat threat assessment response incident operation intel security cyber security intel response response response cyber threat network network cyber intel response intel security incident cyber intel assessment security cyber threat security response incident assessment threat incident threat operation cyber system network cyber assessment system operation security
Mission_8,operation threat intel cyber assessment operation operation security cyber assessment cyber threat system operation assessment network threat cyber response incident security security cyber network response intel threat system security threat assessment cyber incident network cyber network system intel intel intel network security assessment incident response assessment intel assessment network operation assessment intel network cyber threat threat incident incident incident cyber response system network response incident threat security system incident cyber security system security operation assessment operation threat security response security,system cyber system network incident network response network response security response network threat response incident network assessment system cyber network security response threat cyber incident operation system network assessment threat assessment response security system assessment intel system incident assessment system network threat operation assessment cyber assessment assessment response network system network system incident response incident system operation assessment intel cyber intel threat cyber threat intel network response network incident incident system network response assessment incident cyber incident assessment intel system,operation cyber security cyber system threat system cyber security response response assessment incident threat incident response system security assessment operation operation system threat incident incident operation network intel security operation network intel security assessment operation response assessment response cyber network assessment intel operation network operation intel operation security operation security system intel assessment operation assessment assessment system system security incident intel cyber intel security intel intel assessment security cyber system cyber incident response threat intel response incident network intel network,security response operation cyber assessment network operation cyber intel system incident assessment security assessment network assessment threat threat assessment system incident system response assessment cyber response operation system network network network response network network cyber network operation network intel operation intel incident response threat system threat system network cyber operation intel assessment cyber threat incident response cyber system intel incident assessment cyber assessment security system cyber response intel system intel security intel threat system network threat intel operation intel assessment,intel assessment system intel incident system operation assessment response response response intel intel cyber incident cyber threat response threat network cyber network operation incident network system intel network incident security assessment network threat response response network cyber system threat assessment network incident response response system incident threat operation intel cyber network assessment operation incident response cyber intel threat incident assessment cyber intel threat operation threat response threat response operation system intel operation system system security network operation response incident cyber,incident operation threat incident assessment cyber threat intel operation incident security network cyber network network intel threat operation security assessment system intel response intel network operation operation threat incident cyber intel security security cyber operation threat incident system security system assessment threat threat intel cyber cyber operation system operation assessment assessment cyber security response response threat system assessment security response response system threat cyber operation incident incident intel threat intel response system threat system intel operation security cyber incident security
Mission_9,threat assessment threat response intel system security threat network operation intel assessment network response threat cyber network network threat incident cyber assessment cyber response incident security network system threat system threat threat response assessment cyber incident incident assessment assessment security security response network incident operation operation system network assessment intel threat incident cyber cyber threat operation network threat security network network response assessment system system intel intel operation security assessment operation cyber network intel response response response system incident system,cyber security cyber system network incident cyber operation incident security security assessment system system system incident security cyber incident cyber cyber operation network security response intel assessment intel response assessment assessment operation security threat response security threat security system assessment incident intel cyber intel assessment incident operation threat threat security response response intel assessment assessment incident operation intel threat system security security assessment response security network security incident assessment security system system operation cyber system threat response intel operation incident,intel response intel incident response cyber threat assessment assessment response network cyber intel threat response threat operation response security intel response assessment operation response intel incident threat security assessment threat assessment operation cyber operation response threat threat cyber operation security assessment response system threat security response incident security threat intel response assessment incident response intel incident assessment assessment intel threat network threat network incident cyber intel assessment intel operation assessment response cyber operation operation network security cyber response response cyber,network operation response intel assessment response threat intel assessment incident operation intel assessment response intel intel assessment network operation response incident security operation security intel response threat response response security network threat intel intel cyber response operation assessment operation intel operation security system cyber threat cyber threat intel system security security operation cyber assessment cyber response cyber incident network intel network assessment assessment response network intel response incident cyber response incident incident response threat incident assessment intel security intel system,response intel assessment incident incident operation incident network network threat response intel assessment system threat assessment threat incident system threat network incident operation system system cyber operation cyber response response response network threat assessment system assessment intel assessment threat operation threat intel network operation cyber network intel incident system network operation cyber intel operation cyber intel system cyber response security threat assessment security cyber assessment cyber response intel threat security network intel network incident intel system response security threat operation,response response response incident system assessment intel response incident response response security operation cyber threat security threat network security incident operation intel threat cyber security system assessment intel incident cyber security cyber security operation network intel threat cyber response cyber assessment cyber network response operation assessment assessment cyber response cyber intel intel cyber security incident incident operation threat operation threat response response operation cyber incident network incident security operation intel threat assessment security intel security intel incident system security assessment
Mission_10,security threat threat security system threat intel operation intel system incident assessment cyber operation network intel operation response incident security system assessment operation response cyber response incident cyber operation system system security system cyber response intel security incident incident security cyber network intel intel system security network system incident threat intel security threat operation incident threat incident intel cyber assessment threat intel response incident security incident security security cyber response response operation security security intel intel security operation cyber intel,operation cyber incident security assessment intel incident incident operation operation operation operation assessment network intel incident system cyber incident incident threat intel assessment response incident network intel assessment operation system assessment operation assessment threat security network network response security threat cyber assessment system assessment network response cyber threat security network assessment intel incident threat cyber threat assessment response response response assessment operation response intel security threat network security system threat operation network threat response incident intel incident network threat threat,threat network assessment threat security operation assessment threat threat operation security response threat threat incident assessment security network system incident incident security network security incident security network incident assessment threat cyber network response network response operation incident operation operation security incident network threat system system operation threat incident assessment operation intel network system cyber incident assessment operation response system intel intel assessment intel incident incident assessment cyber intel network network system threat security cyber threat intel threat system system threat,intel cyber response intel incident security security operation intel network operation response threat threat intel cyber intel security operation intel incident network response operation security intel intel operation security operation security assessment intel security intel cyber security cyber system network system security security response system intel system operation cyber cyber intel response assessment assessment incident security cyber incident assessment threat network incident response network operation system threat assessment system assessment system network intel response incident network incident response cyber cyber,assessment assessment threat operation response network system intel operation system response intel threat system security incident incident response system assessment assessment assessment incident cyber threat intel cyber response operation response response incident assessment network threat network security assessment incident security response security assessment threat incident network response threat response assessment intel intel threat response intel assessment security security cyber operation incident intel incident security threat assessment cyber network threat response intel security security system response threat response intel system network,intel operation assessment operation system assessment network response security response response threat system incident assessment security incident response cyber operation network response response system incident network assessment cyber operation cyber response assessment intel operation intel assessment operation system assessment system incident incident threat intel response network network intel network cyber network response network operation network network system operation threat response security incident intel operation intel system network cyber system cyber security system assessment threat system assessment operation assessment intel cyber
