Mission_Title,Recommendation_ID,System_Affected,Priority,Status,Hardening Recommendation #231
Mission_1,HR001,System A,Low,Pending,incident incident incident incident cyber response response response system response security system security system intel security intel security operation threat security intel system operation response response threat cyber threat cyber incident response system operation threat threat threat intel system incident response system operation intel response operation system incident network intel intel cyber operation threat operation operation network response intel system security operation system intel network response assessment threat cyber response system operation cyber operation network assessment operation security response response response system threat assessment network security cyber security assessment operation operation security incident incident response intel network intel response threat incident network security system assessment cyber network network system intel network network network system cyber incident system system cyber threat
Mission_2,HR002,System C,High,Rejected,intel incident security incident assessment operation security network incident cyber network incident response operation security security operation system security cyber threat assessment network incident cyber assessment response operation response network intel assessment response intel incident response response response operation cyber system system incident response security security security cyber intel intel threat cyber system system security threat assessment threat intel intel assessment assessment response intel intel operation operation system incident cyber response network security response response system assessment incident operation security incident response operation cyber assessment security incident incident threat intel assessment network incident threat intel network security system cyber operation cyber system incident operation network threat security cyber security intel threat response network network assessment operation threat cyber security threat
Mission_3,HR003,System A,High,Rejected,incident network response assessment security cyber system intel incident security response operation incident incident assessment system network incident incident threat incident threat threat assessment security network security cyber incident security network assessment incident system network cyber operation intel intel incident operation network assessment assessment incident operation network threat intel operation security operation threat security system threat intel intel intel threat threat operation intel incident threat intel security assessment cyber threat incident network assessment system cyber intel cyber cyber threat intel assessment network network security intel response security threat incident cyber response incident system network response cyber threat intel assessment operation system security system system response response incident assessment network incident threat intel system response network security security incident assessment security
Mission_4,HR004,System C,High,Rejected,response response system system assessment operation cyber cyber security system security response intel assessment assessment system intel response incident response threat threat assessment system assessment response threat assessment response network intel incident response operation system incident intel threat cyber assessment response incident intel response security cyber intel assessment threat network operation system response security assessment response incident security intel operation security incident assessment security cyber system response operation intel intel system operation network cyber intel cyber network response network network assessment assessment cyber incident response security threat incident response system security threat incident operation threat network system cyber network response operation assessment system assessment network threat network response assessment response response response intel intel network assessment assessment security system assessment
Mission_5,HR005,System A,Low,Pending,intel operation security assessment threat security intel cyber incident system response threat threat incident system response response system cyber security intel network security security intel network assessment assessment response system incident response response incident threat response security assessment operation system incident intel intel system system incident intel response operation response assessment intel security incident cyber network assessment assessment cyber system cyber intel assessment incident system security system threat network network incident system cyber cyber cyber cyber operation security incident network network assessment response system response assessment operation cyber security system operation system network security network intel cyber operation incident response security cyber system network response threat response intel operation intel network incident threat system response incident response network response operation
Mission_6,HR006,System B,High,Pending,operation incident security cyber intel threat assessment assessment incident response system operation security response incident assessment intel network operation security threat network response intel cyber operation system response assessment intel system threat incident system cyber threat threat assessment security security intel assessment intel system assessment threat security network network network intel response security operation operation cyber system cyber incident network response incident operation intel response operation cyber assessment system operation cyber cyber network operation response threat cyber network security assessment cyber operation security threat security threat system operation operation network response system response network security intel operation security security threat operation response network network threat intel assessment security cyber operation network response cyber cyber network operation security incident cyber cyber
Mission_7,HR007,System B,Medium,Pending,threat assessment security threat security operation cyber system threat incident operation operation system threat response system incident response assessment incident threat incident assessment assessment threat cyber threat security threat operation threat cyber system cyber system incident intel network threat network cyber intel security cyber cyber response security network cyber security system intel intel threat intel threat cyber threat network response intel assessment threat system cyber network network response network operation operation incident network operation assessment operation response security security cyber intel security incident threat threat threat response intel incident response threat incident system system response network assessment cyber assessment operation system cyber security network cyber assessment threat system cyber operation network incident cyber network security system intel assessment incident response
Mission_8,HR008,System C,High,Pending,intel response intel response threat cyber operation operation assessment security network assessment system intel intel security security cyber cyber assessment network network network threat incident cyber incident threat response incident intel intel incident incident threat operation network security threat intel cyber operation assessment system incident network incident incident operation assessment assessment network intel threat system response operation network cyber network network threat system response intel security threat threat response network system threat operation response incident security cyber assessment security cyber network intel security assessment system response operation response threat intel operation assessment cyber system network network operation threat security system cyber system intel assessment assessment intel incident security system network operation threat network response security response intel security assessment network
Mission_9,HR009,System B,Medium,Implemented,incident operation incident response threat threat intel response assessment security operation cyber system threat response intel intel intel network threat assessment cyber threat intel assessment intel security cyber cyber incident assessment threat incident operation security network network incident assessment response intel operation operation security security incident security operation incident cyber security intel system assessment threat threat network system network intel threat security network threat threat response intel operation intel assessment system incident incident incident cyber security response incident intel incident network operation system intel system threat network threat assessment response intel intel system response security intel security cyber threat operation intel incident system threat operation intel threat intel assessment security assessment incident response incident threat intel security network network intel
Mission_10,HR010,System C,Medium,Rejected,network operation intel network cyber network response network threat incident network response assessment network security operation cyber intel intel operation response network system response operation system security threat intel assessment network operation intel response security threat threat operation cyber response network operation network assessment assessment response intel incident security assessment network threat threat intel network operation threat incident threat operation security network cyber assessment assessment incident intel system system threat network network cyber assessment system response cyber security security response assessment security system security threat network response threat network security assessment operation operation incident security assessment security operation threat system cyber intel system cyber operation threat response threat security assessment security threat intel incident cyber cyber incident response cyber cyber
