CY,Mission_Title,Terrain_System_Past_End_of_Life,Terrain_Air_Gapped,Intel_Driven_Hunt,TMP_Signing_Delay,ATC_Signing_Delay,ROC_Drill_Completed,ROC_Drill_Date,OIV_Conducted,OIV_Date,CTE_Utilized,CTE_Date,Range_Utilized,Equipment_Issues,Equipment_Shipping,CED_Orders_Issues,CED_Orders_Issues_Details,Badge_Building_Issues,Account_Issues,Account_Issue_Details,Equipment_Issues_Details
2024,Mission_1,True,True,True,True,True,False,2025-12-04,False,2025-12-04,True,2025-12-04,True,True,Lost,False,Lost,Lost Badge,True,Password Reset,Missing
2025,Mission_2,True,False,False,True,False,False,2025-12-05,True,2025-12-05,True,2025-12-05,False,False,Delayed,True,Lost,Access Denied,True,Locked Out,Missing
2025,Mission_3,False,True,False,True,False,True,2025-12-06,True,2025-12-06,True,2025-12-06,False,False,Delayed,True,Delay,Lost Badge,True,Password Reset,Missing
2024,Mission_4,False,True,True,False,False,True,2025-12-07,True,2025-12-07,True,2025-12-07,True,True,Delayed,False,None,None,True,Locked Out,None
2024,Mission_5,True,True,False,False,True,True,2025-12-08,True,2025-12-08,False,2025-12-08,True,True,Shipped,True,Delay,Access Denied,False,Password Reset,Damaged
2025,Mission_6,True,True,False,False,False,True,2025-12-09,True,2025-12-09,False,2025-12-09,False,False,Shipped,True,Delay,Lost Badge,False,Locked Out,Missing
2025,Mission_7,True,True,True,False,True,True,2025-12-10,True,2025-12-10,True,2025-12-10,False,False,Shipped,True,Delay,None,True,Locked Out,None
2025,Mission_8,False,False,False,True,True,True,2025-12-11,True,2025-12-11,True,2025-12-11,True,True,Delayed,False,Delay,Lost Badge,False,Password Reset,Missing
2024,Mission_9,False,True,True,True,True,False,2025-12-12,True,2025-12-12,True,2025-12-12,True,True,Delayed,False,Lost,Lost Badge,False,Locked Out,Missing
2024,Mission_10,False,True,True,True,True,True,2025-12-13,False,2025-12-13,True,2025-12-13,True,False,Lost,False,Delay,Access Denied,False,None,None
