CY,Mission_Title,Number_of_JCO_Reports,Number_of_Tactical_Objectives,Number_of_Tactical_Tasks,Number_of_Investigations,Number_of_Capability_Gaps,Number_of_Vulnerabilities,Number_of_Hardening_Recommendations,Number_of_Terrain_TTPs,Number_of_ECOA_TTPs
2024,Mission_1,5,9,4,3,3,3,2,4,3
2025,Mission_2,7,7,9,0,2,1,3,0,4
2024,Mission_3,8,3,2,4,1,1,0,2,3
2025,Mission_4,9,4,3,3,3,4,0,0,2
2025,Mission_5,8,5,2,3,1,0,0,1,3
2024,Mission_6,4,1,8,3,4,3,2,4,4
2025,Mission_7,2,9,4,2,1,0,4,0,2
2025,Mission_8,1,4,4,0,3,2,4,3,2
2025,Mission_9,5,7,7,3,4,1,0,0,2
2025,Mission_10,6,8,5,4,4,3,4,0,1
