Mission_Title,Recommendation_ID,System_Affected,Priority,Status,text_chunk,source_file,source_column,chunk_index,column_chunked,chunk_id,original_row_id
Mission_1,HR001,System A,Low,Pending,incident incident incident incident cyber response response response system response security system security system intel security intel security operation threat security intel system operation response,Hardening_Recommendations.csv,Hardening Recommendation #231,1,Hardening Recommendation #231,7964a1e9-fc79-4726-adb2-101b3aa6d3d0,0
Mission_1,HR001,System A,Low,Pending,operation response response threat cyber threat cyber incident response system operation threat threat threat intel system incident response system operation intel response operation system incident,Hardening_Recommendations.csv,Hardening Recommendation #231,2,Hardening Recommendation #231,d822d765-5277-4e41-a45a-ea18e48a6e59,0
Mission_1,HR001,System A,Low,Pending,system incident network intel intel cyber operation threat operation operation network response intel system security operation system intel network response assessment threat cyber response system,Hardening_Recommendations.csv,Hardening Recommendation #231,3,Hardening Recommendation #231,90caae80-8757-4c64-bad9-5328647224e0,0
Mission_1,HR001,System A,Low,Pending,response system operation cyber operation network assessment operation security response response response system threat assessment network security cyber security assessment operation operation security incident incident,Hardening_Recommendations.csv,Hardening Recommendation #231,4,Hardening Recommendation #231,9ab6e7b5-993c-4ea2-a714-09565c720bfd,0
Mission_1,HR001,System A,Low,Pending,incident incident response intel network intel response threat incident network security system assessment cyber network network system intel network network network system cyber incident system,Hardening_Recommendations.csv,Hardening Recommendation #231,5,Hardening Recommendation #231,d2182dc2-45d1-4360-bb8e-cbf8a0538932,0
Mission_1,HR001,System A,Low,Pending,incident system system cyber threat,Hardening_Recommendations.csv,Hardening Recommendation #231,6,Hardening Recommendation #231,3f831238-8450-4bff-b7d0-e0426abd66eb,0
Mission_2,HR002,System C,High,Rejected,intel incident security incident assessment operation security network incident cyber network incident response operation security security operation system security cyber threat assessment network incident cyber,Hardening_Recommendations.csv,Hardening Recommendation #231,1,Hardening Recommendation #231,7dd9e622-3160-4fcb-9bfd-c86cc306f202,1
Mission_2,HR002,System C,High,Rejected,incident cyber assessment response operation response network intel assessment response intel incident response response response operation cyber system system incident response security security security cyber,Hardening_Recommendations.csv,Hardening Recommendation #231,2,Hardening Recommendation #231,c537c689-8cb2-48b8-8557-602a701528f6,1
Mission_2,HR002,System C,High,Rejected,security cyber intel intel threat cyber system system security threat assessment threat intel intel assessment assessment response intel intel operation operation system incident cyber response,Hardening_Recommendations.csv,Hardening Recommendation #231,3,Hardening Recommendation #231,14cee37c-f5ad-40b1-80d7-2afa2664374c,1
Mission_2,HR002,System C,High,Rejected,cyber response network security response response system assessment incident operation security incident response operation cyber assessment security incident incident threat intel assessment network incident threat,Hardening_Recommendations.csv,Hardening Recommendation #231,4,Hardening Recommendation #231,fd2bd04e-b534-4401-a277-2c79d4076614,1
Mission_2,HR002,System C,High,Rejected,incident threat intel network security system cyber operation cyber system incident operation network threat security cyber security intel threat response network network assessment operation threat,Hardening_Recommendations.csv,Hardening Recommendation #231,5,Hardening Recommendation #231,f19240b6-0da8-4af8-b12d-6dc29cafe65c,1
Mission_2,HR002,System C,High,Rejected,operation threat cyber security threat,Hardening_Recommendations.csv,Hardening Recommendation #231,6,Hardening Recommendation #231,ed8a4e32-43ff-4b0a-b41c-37eaf9a2515a,1
Mission_3,HR003,System A,High,Rejected,incident network response assessment security cyber system intel incident security response operation incident incident assessment system network incident incident threat incident threat threat assessment security,Hardening_Recommendations.csv,Hardening Recommendation #231,1,Hardening Recommendation #231,32ef908d-0861-4fac-862b-695c68b6a032,2
Mission_3,HR003,System A,High,Rejected,assessment security network security cyber incident security network assessment incident system network cyber operation intel intel incident operation network assessment assessment incident operation network threat,Hardening_Recommendations.csv,Hardening Recommendation #231,2,Hardening Recommendation #231,95b28c7d-bb97-4bb3-baa2-c28d8414b6de,2
Mission_3,HR003,System A,High,Rejected,network threat intel operation security operation threat security system threat intel intel intel threat threat operation intel incident threat intel security assessment cyber threat incident,Hardening_Recommendations.csv,Hardening Recommendation #231,3,Hardening Recommendation #231,e52ea3dd-4692-4f0d-8369-6c60d6425f66,2
Mission_3,HR003,System A,High,Rejected,threat incident network assessment system cyber intel cyber cyber threat intel assessment network network security intel response security threat incident cyber response incident system network,Hardening_Recommendations.csv,Hardening Recommendation #231,4,Hardening Recommendation #231,b9d0dd96-051b-485d-a474-0a96733b4cb8,2
Mission_3,HR003,System A,High,Rejected,system network response cyber threat intel assessment operation system security system system response response incident assessment network incident threat intel system response network security security,Hardening_Recommendations.csv,Hardening Recommendation #231,5,Hardening Recommendation #231,a4392cab-3033-4f71-9dc0-3f07051ba2c2,2
