Mission_Title,Terrain_System_Past_End_of_Life,Terrain_Air_Gapped,Intel_Driven_Hunt,TMP_Signing_Delay,ATC_Signing_Delay,ROC_Drill_Completed,ROC_Drill_Date,OIV_Conducted,OIV_Date,CTE_Utilized,CTE_Date,Range_Utilized,Equipment_Issues,Equipment_Shipping,CED_Orders_Issues,CED_Orders_Issues_Details,Badge_Building_Issues,Account_Issues,Account_Issue_Details,Equipment_Issues_Details,text_chunk,source_file,source_column,chunk_index,column_chunked,chunk_id,original_row_id
Mission_1,True,True,True,True,True,False,2025-12-04,False,2025-12-04,True,2025-12-04,True,True,Lost,False,Lost,Lost Badge,True,Password Reset,Missing,,Mission_Details.csv,,1,,9bed1be5-c3f2-4c89-af69-b21f88a0c8c4,0
Mission_2,True,False,False,True,False,False,2025-12-05,True,2025-12-05,True,2025-12-05,False,False,Delayed,True,Lost,Access Denied,True,Locked Out,Missing,,Mission_Details.csv,,1,,89591799-ce00-4d7f-a2cd-e25e2016ae31,1
Mission_3,False,True,False,True,False,True,2025-12-06,True,2025-12-06,True,2025-12-06,False,False,Delayed,True,Delay,Lost Badge,True,Password Reset,Missing,,Mission_Details.csv,,1,,f666c4b0-8c01-4f08-964e-948eae75b38d,2
Mission_4,False,True,True,False,False,True,2025-12-07,True,2025-12-07,True,2025-12-07,True,True,Delayed,False,,,True,Locked Out,,,Mission_Details.csv,,1,,3c5b1b69-3f22-4845-a5c9-756ba9885b6a,3
Mission_5,True,True,False,False,True,True,2025-12-08,True,2025-12-08,False,2025-12-08,True,True,Shipped,True,Delay,Access Denied,False,Password Reset,Damaged,,Mission_Details.csv,,1,,9df59069-84b9-48d0-8691-4389670dba85,4
Mission_6,True,True,False,False,False,True,2025-12-09,True,2025-12-09,False,2025-12-09,False,False,Shipped,True,Delay,Lost Badge,False,Locked Out,Missing,,Mission_Details.csv,,1,,290e104c-226b-4ded-9a94-751d9629610d,5
Mission_7,True,True,True,False,True,True,2025-12-10,True,2025-12-10,True,2025-12-10,False,False,Shipped,True,Delay,,True,Locked Out,,,Mission_Details.csv,,1,,1c3e6651-5cc4-4008-96bd-74ee724cc6f9,6
Mission_8,False,False,False,True,True,True,2025-12-11,True,2025-12-11,True,2025-12-11,True,True,Delayed,False,Delay,Lost Badge,False,Password Reset,Missing,,Mission_Details.csv,,1,,926991ca-d862-463b-bba0-0983c13d8ee4,7
Mission_9,False,True,True,True,True,False,2025-12-12,True,2025-12-12,True,2025-12-12,True,True,Delayed,False,Lost,Lost Badge,False,Locked Out,Missing,,Mission_Details.csv,,1,,9f68adfb-cbb4-458a-baf5-3401dedffea1,8
Mission_10,False,True,True,True,True,True,2025-12-13,False,2025-12-13,True,2025-12-13,True,False,Lost,False,Delay,Access Denied,False,,,,Mission_Details.csv,,1,,7e18afb0-f9df-41eb-87bc-3fbc79c1198f,9
