original_row_id,text_chunk,Equipment_Type,column_chunked,Priority,Date_Reported,Status,source_file,Mission_Title,Reported_By,Recommendation_ID,chunk_id,chunk_index,System_Affected,Issue_ID,source_column
0,network operation cyber threat intel response intel network system response intel cyber system threat response incident incident operation network assessment response response intel response cyber,Server,Equipment Issues,,2025-12-04,Closed,Equipment_Issues.csv,Mission_1,User B,,70c91081-8676-4e6d-bf32-f5c5c3f7b579,1,,ISSUE001,Equipment Issues
0,response cyber operation intel threat intel assessment incident security intel intel network threat cyber assessment intel cyber network assessment intel response intel security assessment security,Server,Equipment Issues,,2025-12-04,Closed,Equipment_Issues.csv,Mission_1,User B,,4a78a3c8-8e4f-4079-8a93-5233eaf6657d,2,,ISSUE001,Equipment Issues
0,assessment security threat operation system incident operation threat threat threat intel intel threat assessment incident network threat threat network operation security operation threat assessment threat,Server,Equipment Issues,,2025-12-04,Closed,Equipment_Issues.csv,Mission_1,User B,,9034d668-3f20-416f-845b-460b61e2f81d,3,,ISSUE001,Equipment Issues
0,assessment threat intel operation incident assessment security operation system operation operation intel assessment security network system intel system incident security threat security operation cyber threat,Server,Equipment Issues,,2025-12-04,Closed,Equipment_Issues.csv,Mission_1,User B,,a6fa28de-5d5c-4b1f-96a2-e317c6e6c8a2,4,,ISSUE001,Equipment Issues
0,cyber threat assessment security cyber intel intel response,Server,Equipment Issues,,2025-12-04,Closed,Equipment_Issues.csv,Mission_1,User B,,e7c3d364-f327-466f-a3bb-66e4e32050c7,5,,ISSUE001,Equipment Issues
1,intel system cyber response intel cyber incident response cyber response intel cyber system system incident cyber intel assessment cyber system intel assessment security response assessment,Server,Equipment Issues,,2025-12-05,Open,Equipment_Issues.csv,Mission_2,User C,,64472ab9-6d40-4857-b890-c0116b071380,1,,ISSUE002,Equipment Issues
1,response assessment operation system security assessment intel security cyber incident assessment assessment threat response incident cyber operation operation incident response security cyber assessment network threat,Server,Equipment Issues,,2025-12-05,Open,Equipment_Issues.csv,Mission_2,User C,,a1544533-b72c-4e1e-adf2-87331c27565d,2,,ISSUE002,Equipment Issues
1,network threat security system response security response system cyber response assessment security intel operation response assessment security security system security assessment incident security threat incident,Server,Equipment Issues,,2025-12-05,Open,Equipment_Issues.csv,Mission_2,User C,,f5706e06-f828-4bd2-8ae4-6c4f558fab72,3,,ISSUE002,Equipment Issues
1,threat incident threat security system incident security cyber operation system assessment operation intel assessment response response cyber system intel system incident response operation assessment response,Server,Equipment Issues,,2025-12-05,Open,Equipment_Issues.csv,Mission_2,User C,,67a10fa7-d24d-4649-988d-4e5daca8df65,4,,ISSUE002,Equipment Issues
1,assessment response cyber cyber assessment response threat cyber,Server,Equipment Issues,,2025-12-05,Open,Equipment_Issues.csv,Mission_2,User C,,2ad76c0c-779b-4b10-a23a-8c467ed1b08d,5,,ISSUE002,Equipment Issues
2,system operation intel incident intel system system network incident response response network network response security operation response response security security response security cyber system network,Router,Equipment Issues,,2025-12-06,Closed,Equipment_Issues.csv,Mission_3,User C,,17682327-7b61-4bf7-8652-363a627cad42,1,,ISSUE003,Equipment Issues
2,system network security operation incident assessment threat cyber cyber response threat threat incident network assessment threat threat response cyber intel threat intel response security threat,Router,Equipment Issues,,2025-12-06,Closed,Equipment_Issues.csv,Mission_3,User C,,591d6348-48ea-4eba-a9af-72a38ba6f106,2,,ISSUE003,Equipment Issues
2,security threat security system threat response cyber response threat intel incident intel incident security security network incident incident threat assessment response cyber assessment security threat,Router,Equipment Issues,,2025-12-06,Closed,Equipment_Issues.csv,Mission_3,User C,,68ff89b4-5de1-4548-aee6-a3b4664c7b9f,3,,ISSUE003,Equipment Issues
2,security threat system assessment cyber intel security assessment system assessment operation response network response assessment system threat assessment response incident incident system system assessment system,Router,Equipment Issues,,2025-12-06,Closed,Equipment_Issues.csv,Mission_3,User C,,040d3fcd-7c87-469f-b2ff-97906803339f,4,,ISSUE003,Equipment Issues
2,assessment system threat threat operation security response incident,Router,Equipment Issues,,2025-12-06,Closed,Equipment_Issues.csv,Mission_3,User C,,4daa3303-4941-4d59-8ad2-a2e8b2c84cd6,5,,ISSUE003,Equipment Issues
3,incident system assessment intel security network response security incident assessment response intel threat cyber threat cyber security threat operation incident operation assessment network cyber network,Router,Equipment Issues,,2025-12-07,In Progress,Equipment_Issues.csv,Mission_4,User A,,bcf326fe-a878-43c9-b347-945a7203e649,1,,ISSUE004,Equipment Issues
