timestamp,src_ip,dst_ip,protocol,activity_type,event_details,src_ip_int,dst_ip_int,protocol_code,activity_label
2025-01-01 23:26:28,242.204.182.122,171.207.248.131,ICMP,red,RED - ICMP connection from 242.204.182.122 to 171.207.248.131,4073502330,2882533507,2,1
2025-01-01 07:52:09,135.154.89.29,96.19.103.234,TCP,blue,BLUE - Defensive action on 96.19.103.234,2275039517,1611884522,3,0
2025-01-01 23:02:36,112.166.7.43,204.141.61.102,UDP,red,RED - UDP connection from 112.166.7.43 to 204.141.61.102,1889929003,3431808358,4,1
2025-01-01 18:25:08,128.50.78.166,94.171.70.32,UDP,blue,BLUE - Defensive action on 94.171.70.32,2150780582,1588282912,4,0
2025-01-01 06:23:40,50.169.173.237,173.245.242.205,TCP,red,RED - TCP connection from 50.169.173.237 to 173.245.242.205,849980909,2918576845,3,1
2025-01-01 15:45:34,170.127.246.89,170.197.76.215,HTTPS,red,RED - HTTPS connection from 170.127.246.89 to 170.197.76.215,2860512857,2865056983,1,1
2025-01-01 05:00:35,10.146.241.179,213.71.240.115,HTTPS,red,RED - HTTPS connection from 10.146.241.179 to 213.71.240.115,177402291,3578261619,1,1
2025-01-01 00:11:15,90.95.205.91,3.51.220.126,UDP,red,RED - UDP connection from 90.95.205.91 to 3.51.220.126,1516227931,53730430,4,1
2025-01-01 21:23:03,191.79.212.168,26.250.208.241,ICMP,red,RED - ICMP connection from 191.79.212.168 to 26.250.208.241,3209680040,452645105,2,1
2025-01-01 14:03:28,96.6.145.89,90.157.228.224,HTTPS,red,RED - HTTPS connection from 96.6.145.89 to 90.157.228.224,1611043161,1520297184,1,1
2025-01-01 21:06:05,94.67.46.233,76.167.212.45,UDP,red,RED - UDP connection from 94.67.46.233 to 76.167.212.45,1581461225,1286067245,4,1
2025-01-01 06:24:00,240.18.203.202,127.95.148.225,TCP,red,RED - TCP connection from 240.18.203.202 to 127.95.148.225,4027763658,2136970465,3,1
2025-01-01 10:09:51,4.219.126.64,84.222.113.229,HTTPS,red,RED - HTTPS connection from 4.219.126.64 to 84.222.113.229,81493568,1423864293,1,1
2025-01-01 04:47:05,29.55.10.33,40.176.6.197,UDP,red,RED - UDP connection from 29.55.10.33 to 40.176.6.197,490146337,682624709,4,1
2025-01-01 20:34:08,186.161.9.54,148.169.181.17,UDP,blue,BLUE - Defensive action on 148.169.181.17,3131115830,2494149905,4,0
2025-01-01 01:27:15,40.165.26.199,239.154.251.203,HTTPS,blue,BLUE - Defensive action on 239.154.251.203,681908935,4019911627,1,0
2025-01-01 08:58:22,183.37.42.69,40.194.78.190,HTTP,blue,BLUE - Defensive action on 40.194.78.190,3072666181,683822782,0,0
2025-01-01 21:50:19,32.160.168.214,150.199.120.240,HTTP,red,RED - HTTP connection from 32.160.168.214 to 150.199.120.240,547399894,2529655024,0,1
2025-01-01 11:53:15,232.196.143.57,185.131.243.244,TCP,red,RED - TCP connection from 232.196.143.57 to 185.131.243.244,3905195833,3112432628,3,1
2025-01-01 11:51:07,174.227.119.156,125.204.41.90,HTTP,blue,BLUE - Defensive action on 125.204.41.90,2934142876,2110531930,0,0
2025-01-01 10:55:58,130.165.3.30,176.170.174.102,HTTPS,red,RED - HTTPS connection from 130.165.3.30 to 176.170.174.102,2191852318,2963975782,1,1
2025-01-01 08:28:10,155.112.10.135,123.0.169.235,HTTPS,red,RED - HTTPS connection from 155.112.10.135 to 123.0.169.235,2607811207,2063641067,1,1
2025-01-01 16:30:29,99.237.219.226,159.51.173.167,TCP,blue,BLUE - Defensive action on 159.51.173.167,1676532706,2670964135,3,0
2025-01-01 23:27:34,60.233.151.68,119.25.51.209,UDP,red,RED - UDP connection from 60.233.151.68 to 119.25.51.209,1021941572,1998140369,4,1
2025-01-01 11:05:26,146.208.228.22,217.104.72.96,HTTPS,red,RED - HTTPS connection from 146.208.228.22 to 217.104.72.96,2463163414,3647490144,1,1
2025-01-01 20:58:54,196.81.250.202,196.45.66.158,HTTP,blue,BLUE - Defensive action on 196.45.66.158,3293706954,3291300510,0,0
2025-01-01 09:44:18,155.202.138.228,114.185.230.106,UDP,red,RED - UDP connection from 155.202.138.228 to 114.185.230.106,2613742308,1924785770,4,1
2025-01-01 06:49:11,171.43.184.18,245.10.199.224,HTTP,red,RED - HTTP connection from 171.43.184.18 to 245.10.199.224,2871769106,4111124448,0,1
2025-01-01 10:13:51,192.184.220.73,232.134.135.133,ICMP,blue,BLUE - Defensive action on 232.134.135.133,3233340489,3901130629,2,0
2025-01-01 19:05:33,18.232.29.95,133.5.87.84,HTTP,blue,BLUE - Defensive action on 133.5.87.84,317201759,2231719764,0,0
2025-01-01 06:05:22,22.15.112.75,9.140.115.138,ICMP,red,RED - ICMP connection from 22.15.112.75 to 9.140.115.138,370110539,160199562,2,1
2025-01-01 21:35:43,125.157.23.57,102.28.3.53,ICMP,red,RED - ICMP connection from 125.157.23.57 to 102.28.3.53,2107447097,1713111861,2,1
2025-01-01 00:25:20,31.59.42.32,126.115.11.151,HTTPS,blue,BLUE - Defensive action on 126.115.11.151,523971104,2121468823,1,0
2025-01-01 00:26:10,100.108.234.57,17.142.188.12,TCP,red,RED - TCP connection from 100.108.234.57 to 17.142.188.12,1684859449,294566924,3,1
2025-01-01 04:39:10,172.47.216.131,93.9.185.80,UDP,red,RED - UDP connection from 172.47.216.131 to 93.9.185.80,2888816771,1560918352,4,1
2025-01-01 11:57:16,158.156.78.145,146.186.161.246,HTTP,red,RED - HTTP connection from 158.156.78.145 to 146.186.161.246,2661043857,2461704694,0,1
2025-01-01 07:38:55,175.127.52.91,200.208.79.237,UDP,red,RED - UDP connection from 175.127.52.91 to 200.208.79.237,2944349275,3369095149,4,1
2025-01-01 23:46:03,191.192.45.200,119.195.140.162,HTTP,blue,BLUE - Defensive action on 119.195.140.162,3217042888,2009304226,0,0
2025-01-01 11:51:54,97.143.201.94,30.102.92.175,HTTPS,red,RED - HTTPS connection from 97.143.201.94 to 30.102.92.175,1636813150,510024879,1,1
2025-01-01 12:48:32,180.232.138.79,65.118.61.185,UDP,blue,BLUE - Defensive action on 65.118.61.185,3035138639,1098268089,4,0
