# Metadata:
# Simulated red vs blue cyber activity data for ML tasks
# Columns: timestamp, src_ip, dst_ip, protocol, activity_type, event_details
# activity_type: "red" = adversary, "blue" = defender
# Generated on: 2025-11-07 15:25:36
timestamp,src_ip,dst_ip,protocol,activity_type,event_details
2025-01-01 23:16:50,29.12.140.63,58.71.52.174,HTTPS,red,RED - HTTPS connection from 29.12.140.63 to 58.71.52.174
2025-01-01 21:29:57,109.16.15.24,56.119.13.144,UDP,blue,BLUE - Defensive action on 56.119.13.144
2025-01-01 08:01:33,115.142.3.195,207.81.216.88,ICMP,red,RED - ICMP connection from 115.142.3.195 to 207.81.216.88
2025-01-01 07:50:21,246.172.52.24,98.49.183.217,ICMP,blue,BLUE - Defensive action on 98.49.183.217
2025-01-01 01:34:55,187.235.63.250,237.193.40.142,ICMP,blue,BLUE - Defensive action on 237.193.40.142
2025-01-01 21:01:14,50.35.23.170,59.148.40.219,UDP,red,RED - UDP connection from 50.35.23.170 to 59.148.40.219
2025-01-01 13:50:23,72.232.186.42,95.181.107.172,ICMP,red,RED - ICMP connection from 72.232.186.42 to 95.181.107.172
2025-01-01 22:10:40,163.87.125.42,119.194.138.254,HTTPS,red,RED - HTTPS connection from 163.87.125.42 to 119.194.138.254
2025-01-01 11:48:24,216.28.117.211,9.161.205.69,TCP,red,RED - TCP connection from 216.28.117.211 to 9.161.205.69
2025-01-01 20:39:01,225.161.108.168,128.202.234.37,ICMP,red,RED - ICMP connection from 225.161.108.168 to 128.202.234.37
2025-01-01 08:58:45,191.134.219.230,150.204.185.57,UDP,blue,BLUE - Defensive action on 150.204.185.57
2025-01-01 03:18:35,194.24.56.40,161.81.216.153,TCP,blue,BLUE - Defensive action on 161.81.216.153
2025-01-01 13:53:39,153.239.128.249,142.5.58.175,HTTPS,blue,BLUE - Defensive action on 142.5.58.175
2025-01-01 23:20:12,88.57.150.112,41.232.1.245,ICMP,red,RED - ICMP connection from 88.57.150.112 to 41.232.1.245
2025-01-01 18:29:02,234.54.152.216,164.101.78.96,UDP,red,RED - UDP connection from 234.54.152.216 to 164.101.78.96
2025-01-01 21:48:24,83.250.9.29,238.185.157.62,TCP,red,RED - TCP connection from 83.250.9.29 to 238.185.157.62
